Group,Type,Latino-led,Other CDFIs
Loan funds,Median assets,45005433,28531371
Loan funds,Median loans outstanding,23888894,12807270
Loan funds,Median self-sufficiency ratio,0.53,0.48
Loan funds,Share of funds borrowed from banks,0.43,0.21
Credit unions,Median assets,193716734,172091571
Credit unions,Median loans outstanding,114278449,119827340
Credit unions,Median net asset ratio,0.12,0.11
Credit unions,Median net income,1533121,1415773
Banks,Median assets,679005000,337229000
Banks,Median loans outstanding,401912000,206135000
Banks,Median net asset ratio,0.092,0.087
Banks,Median net income,477000,3393500
