 Metros with Latino population of 20% or more 
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area"
"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area"
"Tucson, AZ Metropolitan Statistical Area"
"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area"
"Chicago-Joliet-Naperville, IL-IN-WI Metropolitan Statistical Area"
"New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical"
"Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area"
"Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area"
"Fresno, CA Metropolitan Statistical Area"
"San Antonio-New Braunfels, TX Metropolitan Statistical Area"
"Las Vegas-Paradise, NV Metropolitan Statistical Area"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
"Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area"
"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area"
"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area"
"Denver-Aurora-Broomfield, CO Metropolitan Statistical Area"
"Houston-Sugar Land-Baytown, TX Metropolitan Statistical Area"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area"
