Category,Neighborhood share Latino,Business,Micro,Commercial real estate,Multifamily,Single family,Consumer
Lending per capita,0–9%, 9.43, 1.79, 5.96, 2.65, 27, 7.24
Lending per capita,10–19%, 5.88, 1.95, 3.94, 2.91, 36, 7.00
Lending per capita,20–49%,4.16, 3.02, 3.31, 3.66, 34, 6.73
Lending per capita,Over 50%, 3.89, 4.49, 3.88, 4.50, 21, 7.09
Count per capita,0–9%, 3.66, 10, 0.89, 0.25, 15.8, 230 
Count per capita,10–19%, 2.22, 15, 0.37, 0.19, 15.5, 219 
Count per capita,20–49%, 1.99, 32, 0.21, 0.23, 14.3, 111 
Count per capita,Over 50%, 1.84, 67, 0.25, 0.27, 8.4, 51 
